Euring	Sortering	Artnavn	Latin	English	Status	Type
5790	3540	Sabinemåge	Xema sabini	Sabine's Gull	AS	art
5850	3550	Tyndnæbbet Måge	Chroicocephalus genei	Slender-billed Gull	AU	art
5810	3560	Bonapartemåge	Chroicocephalus philadelphia	Bonaparte's Gull	AU	art
5820	3570	Hættemåge	Chroicocephalus ridibundus	Black-headed Gull	A	art
5780	3580	Dværgmåge	Hydrocoloeus minutus	Little Gull	A	art
6010	3590	Rosenmåge	Rhodostethia rosea	Ross's Gull	AU	art
5760	3600	Lattermåge	Leucophaeus atricilla	Laughing Gull	AU	art
5770	3610	Præriemåge	Leucophaeus pipixcan	Franklin's Gull	AU	art
5750	3620	Sorthovedet Måge	Ichthyaetus melanocephalus	Mediterranean Gull	A	art
5880	3640	Audouinsmåge	Ichthyaetus audouinii	Audouin's Gull	AU	art
5730	3660	Stor Sorthovedet Måge	Ichthyaetus ichthyaetus	Pallas's Gull	AU	art
5900	3670	Stormmåge	Larus canus	Common Gull	A	art
5890	3695	Ringnæbbet Måge	Larus delawarensis	Ring-billed Gull	AU	art
5910	3700	Sildemåge	Larus fuscus	Lesser Black-backed Gull	A	art
5920	3750	Sølvmåge	Larus argentatus	European Herring Gull	A	art
5919	3775	Armensk Måge	Larus armenicus	Armenian Gull	AU	art
5915	3780	Middelhavssølvmåge	Larus michahellis	Yellow-legged Gull	AS	art
5930	3790	Kaspisk Måge	Larus cachinnans	Caspian Gull	A	art
5980	3840	Hvidvinget Måge	Larus glaucoides	Iceland Gull	AS	art
5960	3880	Gråvinget Måge	Larus glaucescens	Glaucous-winged Gull	AU	art
5990	3890	Gråmåge	Larus hyperboreus	Glaucous Gull	AS	art
6000	3900	Svartbag	Larus marinus	Great Black-backed Gull	A	art
6230	3920	Sodfarvet Terne	Onychoprion fuscatus	Sooty Tern	U	art
6220	3930	Brilleterne	Onychoprion anaethetus	Bridled Tern	AU	art
6240	3940	Dværgterne	Sternula albifrons	Little Tern	A	art
6050	3950	Sandterne	Gelochelidon nilotica	Gull-billed Tern	AS	art
6060	3960	Rovterne	Hydroprogne caspia	Caspian Tern	A	art
6260	3970	Hvidskægget Terne	Chlidonias hybrida	Whiskered Tern	AU	art
6280	3980	Hvidvinget Terne	Chlidonias leucopterus	White-winged Tern	AS	art
6270	3990	Sortterne	Chlidonias niger	Black Tern	A	art
6140	4010	Rosenterne	Sterna dougallii	Roseate Tern	AU	art
6150	4020	Fjordterne	Sterna hirundo	Common Tern	A	art
6160	4030	Havterne	Sterna paradisaea	Arctic Tern	A	art
6120	4050	Aztekerterne	Thalasseus elegans	Elegant Tern	AU	art
6110	4060	Splitterne	Thalasseus sandvicensis	Sandwich Tern	A	art
3010	4080	Fiskeørn	Pandion haliaetus	Western Osprey	A	art
2350	4090	Blå Glente	Elanus caeruleus	Black-winged Kite	AU	art
2310	4100	Hvepsevåge	Pernis apivorus	European Honey Buzzard	A	art
2460	4110	Lammegrib	Gypaetus barbatus	Bearded Vulture	EU	art
